politybelligerent,modernctrylocation,newid,distance,conflict,conflictname,city,province,parliamentoflocation,cstart,cend,cduration,major,navalbattle,battletype,sideabelligerent1,sideabelligerent2,sideabelligerent3,sideabelligerent4,sidebbelligerent1,sidebbelligerent2,sidebbelligerent3,sidebbelligerent4,Belligerent.Allies,polityvictor,battledraw,victorname,belligerentvictor,parlpresence,resources,notes,ac
England,France,175,175,1,chateau-galliard,les andelys,eure,France,1203,1204,2,1,0,siege,England,,,,France,,,,0,1,0,France,0,2,"Bradbury p. 199; ""The Capetians and the Valois, France 987-1500""; p. 362 (timeline)",,
France,France,175,175,1,chateau-galliard,les andelys,eure,France,1203,1204,2,1,0,siege,England,,,,France,,,,0,1,0,France,1,2,"Bradbury p. 199; ""The Capetians and the Valois, France 987-1500""; p. 362 (timeline)",,
France ,France,178,178,1,toulouse1,toulouse,haute-garonne,France,1211,1211,1,0,0,siege,France ,,,,Cathars,,,,0,0,0,Cathars,0,2,"Bradbury p. 190; ""The Crusade, 1095-1500""","First siege of Toulouse occur in 2011, second attempt in 2017-2018 -- both by Simon de Montfort the Elder and both end in defeat for France",
Cathars,France,178,178,1,toulouse1,toulouse,haute-garonne,France,1211,1211,1,0,0,siege,France ,,,,Cathars,,,,0,0,0,Cathars,1,2,"Bradbury p. 190; ""The Crusade, 1095-1500""","First siege of Toulouse occur in 2011, second attempt in 2017-2018 -- both by Simon de Montfort the Elder and both end in defeat for France",
Castile,Spain,179,179,1,las navas de tolosa,despeñaperros natural park,andalusia,Castile,1212,1212,1,1,0,battle,Castile,,,,Arabs,,,,0,0,1,,0,1,"Bradbury p. 224, ""Iberia and the Reconquista, 850-1492""",,
Arabs,Spain,179,179,1,las navas de tolosa,despeñaperros natural park,andalusia,Castile,1212,1212,1,1,0,battle,Castile,,,,Arabs,,,,0,0,1,,0,1,"Bradbury p. 224, ""Iberia and the Reconquista, 850-1492""",,
Aragon,France,180,180,1,muret,muret,haute-garonne,France,1213,1213,1,1,0,battle,Aragon,,,,France,,,,0,1,0,France,0,2,"Bradbury p. 204; ""The Capetians and the Valois, France 987-1500""; p. 362",,
France,France,180,180,1,muret,muret,haute-garonne,France,1213,1213,1,1,0,battle,Aragon,,,,France,,,,0,1,0,France,1,2,"Bradbury p. 204; ""The Capetians and the Valois, France 987-1500""; p. 362",,
France,France,181,181,1,bouvines,bouvines,nord,France,1214,1214,1,1,0,battle,France,,,,Austria,England,,,0,1,0,France,1,2,"Bradbury p. 197, ""The Capetians and the Valois, France 987-1500""; p. 362",,
Austria,France,181,181,1,bouvines,bouvines,nord,France,1214,1214,1,1,0,battle,France,,,,Austria,England,,,1,1,0,France,0,2,"Bradbury p. 197, ""The Capetians and the Valois, France 987-1500""; p. 362",,
England,France,181,181,1,bouvines,bouvines,nord,France,1214,1214,1,1,0,battle,France,,,,Austria,England,,,1,1,0,France,0,2,"Bradbury p. 197, ""The Capetians and the Valois, France 987-1500""; p. 362",,
England,England,182,182,1,rochester,rochester,kent,England,1215,1215,1,0,0,siege,England,,,,Magna Carta Barons,,,,0,1,0,English King,1,3,"Bradbury p. 217, ""Angevins to the Tudors, Britain 1154-1485""",,
Magna Carta Barons,England,182,182,1,rochester,rochester,kent,England,1215,1215,1,0,0,siege,England,,,,Magna Carta Barons,,,,0,1,0,English King,0,3,"Bradbury p. 217, ""Angevins to the Tudors, Britain 1154-1485""",,
England,England,183,183,1,lincoln,lincoln,lincolnshire,England,1217,1217,1,1,0,battle,England,,,,France,,,,0,1,0,England,1,1,"Bradbury p. 215, ""Angevins to the Tudors, Britain 1154-1485""","""Victory of William and the Marshall for Henry III against Prince Louis of France and rebel barons…It led to an abandonment of Louis' invasion.""  ",
England,England,184,184,1,lincoln,lincoln,lincolnshire,England,1217,1217,1,0,0,siege,England,,,,France,,,,0,1,0,England,1,1,"Bradbury p. 215, ""Angevins to the Tudors, Britain 1154-1485""","""Victory of William and the Marshall for Henry III against Prince Louis of France and rebel barons…It led to an abandonment of Louis' invasion.""  ",
France,France,185,185,1,toulouse2,toulouse,haute-garonne,France,1217,1218,2,0,0,siege,France,,,,Cathars,,,,0,0,0,Cathars,0,2,"Bradbury p. 190; ""The Crusade, 1095-1500""; ","First siege of Toulouse occur in 2011, second attempt in 2017-2018 -- both by Simon de Montfort the Elder and both end in defeat for France",
England,England,2001,1n,1,sandwich,sandwich,kent,England,1217,1217,1,1,1,battle,England,,,,France,,,,0,1,0,England,1,1,"Bradbury p 218, ""Angevins to Tudors, Britain 1154-1485""","""Victory of an English fleet over the French."" ",
France,England,183,183,1,lincoln,lincoln,lincolnshire,England,1217,1217,1,1,0,battle,England,,,,France,,,,0,1,0,England,0,1,"Bradbury p. 215, ""Angevins to the Tudors, Britain 1154-1485""","""Victory of William and the Marshall for Henry III against Prince Louis of France and rebel barons…It led to an abandonment of Louis' invasion.""  ",
France,England,184,184,1,lincoln,lincoln,lincolnshire,England,1217,1217,1,0,0,siege,England,,,,France,,,,0,1,0,England,0,1,"Bradbury p. 215, ""Angevins to the Tudors, Britain 1154-1485""","""Victory of William and the Marshall for Henry III against Prince Louis of France and rebel barons…It led to an abandonment of Louis' invasion.""  ",
Cathars,France,185,185,1,toulouse2,toulouse,haute-garonne,France,1217,1218,2,0,0,siege,France,,,,Cathars,,,,0,0,0,Cathars,1,2,"Bradbury p. 190; ""The Crusade, 1095-1500""; ","First siege of Toulouse occur in 2011, second attempt in 2017-2018 -- both by Simon de Montfort the Elder and both end in defeat for France",
France,England,2001,1n,1,sandwich,sandwich,kent,England,1217,1217,1,1,1,battle,England,,,,France,,,,0,1,0,England,0,1,"Bradbury p 218, ""Angevins to Tudors, Britain 1154-1485""","""Victory of an English fleet over the French."" ",
England,England,187,187,1,bedford,bedford,bedfordshire,England,1224,1224,1,1,0,siege,England,,,,Falkes de Breauté,,,,0,1,0,England,1,3,"Bradbury p. 212, ""Angevins to the Tudors, Britain 1154-1485""","""Beseiged by Henry III against Fawkes de Breaute's garrison. Fawkes captured the castle for John…""",
Falkes de Breauté,England,187,187,1,bedford,bedford,bedfordshire,England,1224,1224,1,1,0,siege,England,,,,Falkes de Breauté,,,,0,1,0,England,0,3,"Bradbury p. 212, ""Angevins to the Tudors, Britain 1154-1485""","""Beseiged by Henry III against Fawkes de Breaute's garrison. Fawkes captured the castle for John…""",
Austria,italy,191,191,1,cortenuova,cortenuova,lombardia,,1237,1237,1,1,0,battle,Austria,,,,Lombard League,,,,0,,0,Austria,1,1,"Bradbury p. 161, ""The Holy Roman Empire and Central Europe 850-1500""",,
Lombard League,italy,191,191,1,cortenuova,cortenuova,lombardia,,1237,1237,1,1,0,battle,Austria,,,,Lombard League,,,,0,,0,Austria,0,1,"Bradbury p. 161, ""The Holy Roman Empire and Central Europe 850-1500""",,
Austria,italy,192,192,1,brescia,brescia,lombardia,,1238,1238,1,0,0,siege,Austria,,,,Brescia,,,,0,,0,Brescia,0,1,"Bradbury p. 161, ""The Holy Roman Empire and Central Europe 850-1500""",,
Brescia,italy,192,192,1,brescia,brescia,lombardia,,1238,1238,1,0,0,siege,Austria,,,,Brescia,,,,0,,0,Brescia,1,1,"Bradbury p. 161, ""The Holy Roman Empire and Central Europe 850-1500""",,
Poland,poland,193,193,1,liegnitz,legnickie pole,Poland,Poland,1241,1241,1,1,0,battle,Poland,Austria,,,Mongols,,,,1,0,0,Mongols,0,1,"Bradbury p. 163, ""The Holy Roman Empire and Central Europe, 850-1500""; p. 365 (timeline) ",,
Austria,poland,193,193,1,liegnitz,legnickie pole,Poland,Poland,1241,1241,1,1,0,battle,Poland,Austria,,,Mongols,,,,1,0,0,Mongols,0,1,"Bradbury p. 163, ""The Holy Roman Empire and Central Europe, 850-1500""; p. 365 (timeline) ",,
Mongols,poland,193,193,1,liegnitz,legnickie pole,Poland,Poland,1241,1241,1,1,0,battle,Poland,Austria,,,Mongols,,,,0,0,0,Mongols,1,1,"Bradbury p. 163, ""The Holy Roman Empire and Central Europe, 850-1500""; p. 365 (timeline) ",,
England,France,194,194,1,saintes,saintes,charente-maritime,France,1242,1242,1,0,0,battle ,England,,,,France,,,,0,1,0,France,0,2,"Bradbury p. 206; ""The Capetians and the Valois, France 987-1500""",,
Teutonic Knights,Russia,195,195,1,lake peipus,pskov,Russia,,1242,1242,1,1,0,battle,Teutonic Knights,,,,Russia,,,,0,1,0,Russia,0,0,"Bradbury p. 162, ""The Holy Roman Empire and Central Europe, 850-1500""; p. 365 (timeline) ",Russia has no parliament at this time ,
France,France,194,194,1,saintes,saintes,charente-maritime,France,1242,1242,1,0,0,battle ,England,,,,France,,,,0,1,0,France,1,2,"Bradbury p. 206; ""The Capetians and the Valois, France 987-1500""",,
Russia,Russia,195,195,1,lake peipus,pskov,Russia,,1242,1242,1,1,0,battle,Teutonic Knights,,,,Russia,,,,0,1,0,Russia,1,0,"Bradbury p. 162, ""The Holy Roman Empire and Central Europe, 850-1500""; p. 365 (timeline) ",Russia has no parliament at this time ,
France,France,196,196,1,montsegur,montsegur,ariege,France,1243,1244,2,1,0,seige ,France,,,,Cathars,,,,0,1,0,France,1,3,"Bradbury p. 189; ""The Crusade, 1095-1500"", p. 363 (timeline)", ,
Cathars,France,196,196,1,montsegur,montsegur,ariege,France,1243,1244,2,1,0,seige ,France,,,,Cathars,,,,0,1,0,France,0,3,"Bradbury p. 189; ""The Crusade, 1095-1500"", p. 363 (timeline)", ,
Austria,italy,200,200,1,parma,parma,emilia-romagna,,1247,1248,2,0,0,siege,Austria,,,,Lombard League,,,,0,,0,Lombard League,0,1,"Bradbury p. 164-165, ""The Holy Roman Empire and Central Europe 850-1500""",,
Lombard League,italy,200,200,1,parma,parma,emilia-romagna,,1247,1248,2,0,0,siege,Austria,,,,Lombard League,,,,0,,0,Lombard League,1,1,"Bradbury p. 164-165, ""The Holy Roman Empire and Central Europe 850-1500""",,
Florence,italy,201,,1,montaperti,castelnuovo berardenga,toscana,,1260,1260,1,0,0,battle,Florence,,,,Siena,,,,0,,0,Siena,0,0,"Bowsky, p. 17, p. 275. ",,
Siena,italy,201,,1,montaperti,castelnuovo berardenga,toscana,,1260,1260,1,0,0,battle,Florence,,,,Siena,,,,0,,0,Siena,1,0,"Bowsky, p. 17, p. 275. ",,
